Contract Year,Contract ID,FHIR Provider Directory API URL,Last Entered Date
2027,"H0028 - CHA HMO, INC.",,
2027,"H0029 - COORDINATED CARE OF WASHINGTON, INC.",https://iopc-pd.api.centene.com/iopc/pd/fhir/providerdirectory,7/10/26 15:10
2027,"H0034 - HAMASPIK, INC.",https://api.hamaspikfhir.com/r4/public/,7/9/26 08:56
2027,"H0062 - SUPERIOR HEALTHPLAN, INC.",https://iopc-pd.api.centene.com/iopc/pd/fhir/providerdirectory,7/10/26 15:30
2027,"H0074 - WELLCARE OF MISSISSIPPI, INC.",https://iopc-pd.api.centene.com/iopc/pd/fhir/providerdirectory,7/10/26 15:30
2027,H0104 - BLUE CROSS AND BLUE SHIELD OF ALABAMA,https://api-bcbsal-prd.safhir.io/v1/api/provider-directory,7/1/26 10:22
2027,"H0111 - WELLCARE OF GEORGIA, INC.",https://iopc-pd.api.centene.com/iopc/pd/fhir/providerdirectory,7/10/26 15:31
2027,"H0154 - VIVA HEALTH, INC.",https://api.vivahealthfhir.com/r4/public/Practitioner,7/9/26 09:05
2027,"H0169 - UNITEDHEALTHCARE OF WISCONSIN, INC.",https://flex.optum.com/fhirpublic,7/9/26 09:09
2027,"H0174 - WELLCARE OF TEXAS, INC.",https://iopc-pd.api.centene.com/iopc/pd/fhir/providerdirectory,7/10/26 15:31
2027,"H0251 - UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.",https://flex.optum.com/fhirpublic,7/9/26 09:09
2027,"H0292 - HUMANA HEALTH PLAN OF OHIO, INC.",,
2027,H0294 - UNITEDHEALTHCARE INSURANCE COMPANY,https://flex.optum.com/fhirpublic,7/9/26 09:09
2027,"H0302 - MEDISUN, INC.",,
2027,"H0321 - ARIZONA PHYSICIANS IPA, INC.",https://flex.optum.com/fhirpublic,7/9/26 09:09
2027,"H0332 - KS PLAN ADMINISTRATORS, LLC",https://fhir.kelseycareadvantage.com/metadata,7/9/26 16:28
2027,"H0351 - HEALTH NET OF ARIZONA, INC.",https://iopc-pd.api.centene.com/iopc/pd/fhir/providerdirectory,7/10/26 15:31
2027,"H0354 - BRAVO HEALTH PENNSYLVANIA, INC.",https://data.healthspring.healthlx.com:8003,7/10/26 18:18
2027,"H0363 - LONGEVITY HEALTH PLAN OF COLORADO, INC.",https://co26fhir.longevityhealthplan.com,6/30/26 15:36
2027,H0413 - DEVOTED HEALTH INSURANCE COMPANY OF DELAWARE,https://fhir.devoted.com/fhir,6/25/26 13:24
2027,H0421 - CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,https://flex.optum.com/fhirpublic,7/9/26 09:09
2027,"H0423 - METROPLUS HEALTH PLAN, INC.",https://interop.metroplus.org:9443/fhir/r4/providerdirectory,7/9/26 15:53
2027,"H0432 - UNITEDHEALTHCARE OF THE MIDLANDS, INC.",https://flex.optum.com/fhirpublic,7/9/26 09:09
2027,"H0439 - HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",https://data.healthspring.healthlx.com:8003,7/10/26 18:18
2027,H0473 - HUMANA INSURANCE COMPANY OF KENTUCKY,,
2027,H0504 - CALIFORNIA PHYSICIANS' SERVICE,https://api.blueshieldca.com/bsc/fhir/fhir-server/api/v4/cloud/provider-directory/metadata,7/8/26 14:49
2027,H0523 - AETNA HEALTH OF CALIFORNIA INC.,https://apif1.aetna.com/fhir/v1/providerdirectorydata/healthcareservice  https://apif1.aetna.com/fhir/v1/providerdirectorydata/insuranceplan  https://apif1.aetna.com/fhir/v1/providerdirectorydata/location  https://apif1.aetna.com/fhir/v1/providerdirectorydata/organization  https://apif1.aetna.com/fhir/v1/providerdirectorydata/organizationaffiliation   https://apif1.aetna.com/fhir/v1/providerdirectorydata/practitioner   https://apif1.aetna.com/fhir/v1/providerdirectorydata/practitionerrole,7/1/26 14:06
2027,"H0524 - KAISER FOUNDATION HP, INC.",https://kpx-service-bus.kp.org/service/hp/mhpo/healthplanproviderv1rc,7/9/26 19:51
2027,H0543 - UHC OF CALIFORNIA,https://flex.optum.com/fhirpublic,7/9/26 09:10
2027,H0544 - BLUE CROSS OF CALIFORNIA,https://totalview.healthos.anthem.com/resources/unregistered/api/v1/fhir/cms_mandate/mcd/,8/11/26 13:09
2027,"H0562 - HEALTH NET OF CALIFORNIA, INC.",https://iopc-pd.api.centene.com/iopc/pd/fhir/providerdirectory,7/10/26 15:31
2027,H0571 - CHINESE COMMUNITY HEALTH PLAN,https://cchp-fhirapi.mpowered-health.com/provider-directory,9/4/26 13:05
2027,"H0609 - UnitedHealthcare Benefits of Texas, Inc.",https://flex.optum.com/fhirpublic,7/9/26 09:10
2027,"H0624 - UnitedHealthcare Benefits of Texas, Inc.",https://flex.optum.com/fhirpublic,7/9/26 09:10
2027,H0628 - AETNA HEALTH OF OHIO INC.,https://apif1.aetna.com/fhir/v1/providerdirectorydata/healthcareservice  https://apif1.aetna.com/fhir/v1/providerdirectorydata/insuranceplan  https://apif1.aetna.com/fhir/v1/providerdirectorydata/location  https://apif1.aetna.com/fhir/v1/providerdirectorydata/organization  https://apif1.aetna.com/fhir/v1/providerdirectorydata/organizationaffiliation   https://apif1.aetna.com/fhir/v1/providerdirectorydata/practitioner   https://apif1.aetna.com/fhir/v1/providerdirectorydata/practitionerrole,7/1/26 14:07
2027,"H0629 - ANTHEM INSURANCE COMPANIES, INC.",https://totalview.healthos.anthem.com/resources/unregistered/api/v1/fhir/cms_mandate/mcd/,8/11/26 13:11
2027,H0630 - KAISER FOUNDATION HP OF CO,https://kpx-service-bus.kp.org/service/hp/mhpo/healthplanproviderv1rc,7/9/26 19:51
2027,"H0672 - HEALTHSPRING HEALTHCARE OF COLORADO, INC.",https://data.healthspring.healthlx.com:8003,7/10/26 18:19
2027,H0710 - CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,https://flex.optum.com/fhirpublic,7/9/26 09:10
2027,"H0712 - WELLCARE OF CONNECTICUT, INC.",https://iopc-pd.api.centene.com/iopc/pd/fhir/providerdirectory,7/10/26 15:31
2027,"H0738 - AmeriHealth Caritas VIP Next, Inc.",https://api-ext.amerihealthcaritas.com/DEDS/provider-api/swagger-ui/,7/7/26 16:29
2027,H0755 - CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,https://flex.optum.com/fhirpublic,7/9/26 09:10
2027,"H0764 - UNITEDHEALTHCARE OF NEW ENGLAND, INC.",https://flex.optum.com/fhirpublic,7/9/26 09:10
2027,"H0777 - MASS GENERAL BRIGHAM HEALTH PLAN, INC",https://api.allwayshealthfhir.com/r4/public_dsnp/Practitioner,7/10/26 23:05
2027,"H0816 - BESHP, INC.",https://fhir.myadvocatema.com/hspd/r4/,7/7/26 10:40
2027,"H0907 - WELLPOINT IOWA, INC.",https://totalview.healthos.Wellpoint.com/resources/unregistered/api/v1/fhir/cms_mandate/mcd/,7/8/26 17:13
2027,"H0913 - WELLCARE HEALTH PLANS OF NEW JERSEY, INC.",https://iopc-pd.api.centene.com/iopc/pd/fhir/providerdirectory,7/10/26 15:31
2027,"H0963 - HUMANA MEDICAL PLAN OF MICHIGAN, INC.",,
2027,H0976 - SCAN HEALTH PLAN,https://providerdirectory.scanhealthplan.com,7/7/26 15:22
2027,"H0978 - SCAN HEALTH PLAN NEVADA, INC.",https://providerdirectory.scanhealthplan.com,7/7/26 15:23
2027,"H0982 - SOLIS HEALTH PLANS, INC.",https://solisapigwprovider.azurewebsites.net/api/provider-directory/2027/H0982/fhir/index.json,7/21/26 16:16
2027,"H1019 - CAREPLUS HEALTH PLANS, INC.",,
2027,"H1032 - Sunshine State Health Plan, Inc.",https://iopc-pd.api.centene.com/iopc/pd/fhir/providerdirectory,7/10/26 15:31
2027,"H1035 - FLORIDA BLUE MEDICARE, INC.",https://apigw.bcbsfl.com/interop/interop-developer-portal/emr/api/v1/fhir/,7/10/26 08:10
2027,"H1036 - HUMANA MEDICAL PLAN, INC.",,
2027,"H1045 - PREFERRED CARE PARTNERS, INC.",https://flex.optum.com/fhirpublic,7/9/26 09:10
2027,H1099 - HEALTH FIRST HEALTH PLANS,https://epicproxy.et1433.epichosted.com/FHIRProxyPRD/api/FHIR/R4/,7/13/26 13:15
2027,H1109 - AETNA HEALTH INC. (GA),https://apif1.aetna.com/fhir/v1/providerdirectorydata/healthcareservice  https://apif1.aetna.com/fhir/v1/providerdirectorydata/insuranceplan  https://apif1.aetna.com/fhir/v1/providerdirectorydata/location  https://apif1.aetna.com/fhir/v1/providerdirectorydata/organization  https://apif1.aetna.com/fhir/v1/providerdirectorydata/organizationaffiliation   https://apif1.aetna.com/fhir/v1/providerdirectorydata/practitioner   https://apif1.aetna.com/fhir/v1/providerdirectorydata/practitionerrole,7/1/26 14:07
2027,"H1112 - WELLCARE OF GEORGIA, INC.",https://iopc-pd.api.centene.com/iopc/pd/fhir/providerdirectory,7/10/26 15:32
2027,"H1119 - TSG GUARD, INC.",https://vlr.fp-h1119.prd.healixcloud.net/pd/fhir/Practitioner?_count=10,7/10/26 12:27
2027,"H1170 - KAISER FOUNDATION HP OF GA, INC.",https://kpx-service-bus.kp.org/service/hp/mhpo/healthplanproviderv1rc,7/9/26 19:51
2027,H1181 - NETWORK HEALTH INSURANCE CORPORATION,https://data.networkhealth.com/plan-finder/H1181_index.json,9/4/26 12:56
2027,"H1206 - COVENTRY HEALTH CARE OF ILLINOIS, INC.",https://apif1.aetna.com/fhir/v1/providerdirectorydata/healthcareservice  https://apif1.aetna.com/fhir/v1/providerdirectorydata/insuranceplan  https://apif1.aetna.com/fhir/v1/providerdirectorydata/location  https://apif1.aetna.com/fhir/v1/providerdirectorydata/organization  https://apif1.aetna.com/fhir/v1/providerdirectorydata/organizationaffiliation   https://apif1.aetna.com/fhir/v1/providerdirectorydata/practitioner   https://apif1.aetna.com/fhir/v1/providerdirectorydata/practitionerrole,7/1/26 14:07
2027,"H1212 - WELLPOINT WEST VIRGINIA , INC.",https://totalview.healthos.Wellpoint.com/resources/unregistered/api/v1/fhir/cms_mandate/mcd/,7/8/26 17:14
2027,"H1215 - NEBRASKA TOTAL CARE, INC.",https://iopc-pd.api.centene.com/iopc/pd/fhir/providerdirectory,7/10/26 15:32
2027,H1224 - LOCAL INITIATIVE HEALTH AUTHORITY FOR LA COUNTY,https://us107.ir4.edifecscloud.com/lac/fhir/pd/R4/Practitioner,6/26/26 17:01
2027,"H1225 - HOPKINS HEALTH ADVANTAGE, INC.",https://api.jhhpfhir.com/r4/public-ma/,7/10/26 16:52
2027,"H1230 - KAISER FOUNDATION HP, INC.",https://kpx-service-bus.kp.org/service/hp/mhpo/healthplanproviderv1rc,7/9/26 19:51
2027,H1248 - LOUISIANA HEALTH SERVICE & INDEMNITY COMPANY,https://gateway.api.lablue.com/ProviderDirectory/,7/13/26 14:02
2027,H1278 - CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,https://flex.optum.com/fhirpublic,7/9/26 09:10
2027,"H1280 - ETERNALHEALTH, INC.",https://fhir.eternalhealth.com/api,7/11/26 00:13
2027,"H1290 - DEVOTED HEALTH PLAN OF FLORIDA, INC.",https://fhir.devoted.com/fhir,6/25/26 13:24
2027,"H1302 - BLUE CROSS OF IDAHO HEALTH SERVICE, INC.",https://hkferwd394.execute-api.us-west-2.amazonaws.com/stage/mpf-export/H1302/2027/index.json,8/25/26 13:07
2027,"H1339 - JOHNS HOPKINS HEALTH PLAN OF VIRGINIA, INC.",https://api.jhhpfhir.com/r4/public-ma/,7/10/26 16:52
2027,"H1350 - BLUE CROSS OF IDAHO HEALTH SERVICE, INC.",https://hkferwd394.execute-api.us-west-2.amazonaws.com/stage/mpf-export/H1350/2027/index.json,8/25/26 13:07
2027,"H1360 - UnitedHealthcare Benefits of Texas, Inc.",https://flex.optum.com/fhirpublic,7/9/26 09:10
2027,"H1365 - MARTIN'S POINT GENERATIONS ADVANTAGE, INC.",https://api-MPHC-prd.safhir.io/v1/api/provider-directory,7/8/26 17:39
2027,"H1372 - MARQUIS ADVANTAGE, INC.",https://fhir.curanahealth.com/,7/8/26 00:25
2027,H1390 - DEVOTED HEALTH INSURANCE COMPANY OF NEW JERSEY,https://fhir.devoted.com/fhir,6/25/26 13:24
2027,"H1396 - HUMANA BENEFIT PLAN OF SOUTH CAROLINA, INC.",,
2027,"H1416 - HARMONY HEALTH PLAN,  INC.",https://iopc-pd.api.centene.com/iopc/pd/fhir/providerdirectory,7/10/26 15:32
2027,"H1423 - WELLPOINT HEALTH PLANS, INC.",https://totalview.healthos.Wellpoint.com/resources/unregistered/api/v1/fhir/cms_mandate/mcd/,7/8/26 17:14
2027,"H1468 - HUMANA BENEFIT PLAN OF ILLINOIS, INC.",,
2027,"H1486 - COMMONWEALTH CARE ALLIANCE, INC.",https://orchestrateserver.caresource.careevolution.com/api/fhir/provider-directory/metadata,7/10/26 18:30
2027,H1526 - GOLD KIDNEY OF FLORIDA INC,https://api.aaneelconnect.com/cms/r4/goldkidney-provider-directory-2027,7/10/26 12:37
2027,"H1587 - ARKANSAS SUPERIOR SELECT, INC.",https://assi.fp-h1587.prd.healixcloud.net/pd/fhir/Practitioner?_count=10,7/9/26 15:32
